Transect,Site,Lat,Lon,Depth
east,STX_east_1,17.76237,-64.5976,1.0
east,STX_east_5,17.76271,-64.59734,5.0
east,STX_east_15,17.82805,-64.46711,15.0
east,STX_east_25,17.82871,-64.46705,25.0
north,STX_north_5,17.78408,-64.76148,5.0
north,STX_north_15,17.78532,-64.75953,15.0
north,STX_north_25,17.78532,-64.75953,25.0
south,STX_south_1,17.71238,-64.65305,1.0
south,STX_south_5,17.71097,-64.65221,5.0
south,STX_south_15,17.70121,-64.64793,15.0
south,STX_south_25,17.69385,-64.64337,25.0
west,STX_west_1,17.74824,-64.89392,1.0
west,STX_west_5,17.7437,-64.89576,5.0
west,STX_west_15,17.7338,-64.89639,15.0
west,STX_west_25,17.73363,-64.89693,25.0
