Date,Time,PAR (raw),Datetime (AST),PAR (CALC),,Serial #:,392
8/23/2022,15:58:48,5268,9/5/2022 8:46:00,2.93155558023442,,Location:,NCRMP Suite - St Croix
8/23/2022,15:58:50,5263,9/5/2022 8:46:02,2.91988825300261,,Digital Im:,1.3589
8/23/2022,15:58:51,5259,9/5/2022 8:46:03,2.91058783323497,,Digital a1:,2887
8/23/2022,15:58:52,5261,9/5/2022 8:46:04,2.91523433425087,,Digital a0:,4304
8/23/2022,15:58:53,5263,9/5/2022 8:46:05,2.91988825300261,,Note:,instrument times logged in UTC
8/23/2022,15:58:54,5263,9/5/2022 8:46:06,2.91988825300261,,,
8/23/2022,15:58:55,5263,9/5/2022 8:46:07,2.91988825300261,,Timestamp1,8/23/2022 15:58
8/23/2022,15:58:56,5256,9/5/2022 8:46:08,2.90363196410839,,Timestamp2,9/5/2022 8:46
8/23/2022,15:58:57,5256,9/5/2022 8:46:09,2.90363196410839,,Offset,12.6994444444426
8/23/2022,15:58:58,5258,9/5/2022 8:46:10,2.90826736068257,,Note,Clock adjusted to AST based on field notes;
8/23/2022,16:00:13,3714,9/5/2022 8:47:25,0.84883466386011,,,EcoPAR clock pauses while powered off (!)
8/23/2022,16:00:14,3913,9/5/2022 8:47:26,0.994838974912876,,,
8/23/2022,16:00:15,3754,9/5/2022 8:47:27,0.876351470150468,,,
8/23/2022,16:00:16,3704,9/5/2022 8:47:28,0.842091538077854,,,
8/23/2022,16:00:17,4034,9/5/2022 8:47:29,1.09563225876931,,,
8/23/2022,16:00:18,7424,9/5/2022 8:47:30,16.3641749724516,,,
8/23/2022,16:00:19,8510,9/5/2022 8:47:31,38.9101717782094,,,
8/23/2022,16:00:20,10726,9/5/2022 8:47:32,227.84628382455,,,
8/23/2022,16:00:21,11026,9/5/2022 8:47:33,289.438332382596,,,
8/23/2022,16:00:23,11314,9/5/2022 8:47:35,364.177894817555,,,
8/23/2022,16:15:14,53,9/5/2022 9:02:26,0.0457851598232034,,,
8/23/2022,16:15:15,53,9/5/2022 9:02:27,0.0457851598232034,,,
8/23/2022,16:15:16,53,9/5/2022 9:02:28,0.0457851598232034,,,
8/23/2022,16:15:17,53,9/5/2022 9:02:29,0.0457851598232034,,,
8/23/2022,16:15:18,53,9/5/2022 9:02:30,0.0457851598232034,,,
8/23/2022,16:15:19,53,9/5/2022 9:02:31,0.0457851598232034,,,
8/23/2022,16:15:20,53,9/5/2022 9:02:32,0.0457851598232034,,,
8/23/2022,16:15:21,53,9/5/2022 9:02:33,0.0457851598232034,,,
8/23/2022,16:15:23,53,9/5/2022 9:02:35,0.0457851598232034,,,
8/23/2022,16:15:24,53,9/5/2022 9:02:36,0.0457851598232034,,,
8/23/2022,16:30:15,53,9/5/2022 9:17:27,0.0457851598232034,,,
8/23/2022,16:30:16,53,9/5/2022 9:17:28,0.0457851598232034,,,
8/23/2022,16:30:17,53,9/5/2022 9:17:29,0.0457851598232034,,,
8/23/2022,16:30:18,53,9/5/2022 9:17:30,0.0457851598232034,,,
8/23/2022,16:30:19,53,9/5/2022 9:17:31,0.0457851598232034,,,
8/23/2022,16:30:20,53,9/5/2022 9:17:32,0.0457851598232034,,,
8/23/2022,16:30:21,53,9/5/2022 9:17:33,0.0457851598232034,,,
8/23/2022,16:30:22,53,9/5/2022 9:17:34,0.0457851598232034,,,
8/23/2022,16:30:24,53,9/5/2022 9:17:36,0.0457851598232034,,,
8/23/2022,16:30:25,53,9/5/2022 9:17:37,0.0457851598232034,,,
8/23/2022,16:45:16,11063,9/5/2022 9:32:28,298.106962463833,,,
8/23/2022,16:45:17,11097,9/5/2022 9:32:29,306.301448383172,,,
8/23/2022,16:45:18,11098,9/5/2022 9:32:30,306.545842730591,,,
8/23/2022,16:45:19,11100,9/5/2022 9:32:31,307.0352165792,,,
8/23/2022,16:45:20,11110,9/5/2022 9:32:32,309.493829439391,,,
8/23/2022,16:45:21,11089,9/5/2022 9:32:33,304.353294952392,,,
8/23/2022,16:45:22,11114,9/5/2022 9:32:34,310.482778302714,,,
8/23/2022,16:45:23,11110,9/5/2022 9:32:35,309.493829439391,,,
8/23/2022,16:45:25,11116,9/5/2022 9:32:37,310.978437127481,,,
8/23/2022,16:45:26,11081,9/5/2022 9:32:38,302.417532262205,,,
8/23/2022,17:00:17,7727,9/5/2022 9:47:29,20.8375835011819,,,
8/23/2022,17:00:18,7660,9/5/2022 9:47:30,19.7533096327773,,,
8/23/2022,17:00:19,7602,9/5/2022 9:47:31,18.8603528048806,,,
8/23/2022,17:00:20,7731,9/5/2022 9:47:32,20.9041673957791,,,
8/23/2022,17:00:21,7801,9/5/2022 9:47:33,22.1044390029704,,,
8/23/2022,17:00:22,7685,9/5/2022 9:47:34,20.1511288268385,,,
8/23/2022,17:00:23,7681,9/5/2022 9:47:35,20.0869435085516,,,
8/23/2022,17:00:24,7733,9/5/2022 9:47:36,20.9375390858315,,,
8/23/2022,17:00:26,7811,9/5/2022 9:47:38,22.2814423402601,,,
8/23/2022,17:00:27,7839,9/5/2022 9:47:39,22.784628382455,,,
8/23/2022,17:15:18,11153,9/5/2022 10:02:30,320.292189775613,,,
8/23/2022,17:15:19,11186,9/5/2022 10:02:31,328.834139364547,,,
8/23/2022,17:15:20,11176,9/5/2022 10:02:32,326.221887464805,,,
8/23/2022,17:15:21,11159,9/5/2022 10:02:33,321.828596004575,,,
8/23/2022,17:15:22,11166,9/5/2022 10:02:34,323.630387242493,,,
8/23/2022,17:15:23,11166,9/5/2022 10:02:35,323.630387242493,,,
8/23/2022,17:15:24,11176,9/5/2022 10:02:36,326.221887464805,,,
8/23/2022,17:15:25,11197,9/5/2022 10:02:37,331.731783006396,,,
8/23/2022,17:15:27,11128,9/5/2022 10:02:39,313.969051161614,,,
8/23/2022,17:15:28,11185,9/5/2022 10:02:40,328.57197562361,,,
8/23/2022,17:30:19,10254,9/5/2022 10:17:31,156.368919759269,,,
8/23/2022,17:30:20,10521,9/5/2022 10:17:32,193.479066298786,,,
8/23/2022,17:30:21,10528,9/5/2022 10:17:33,194.562279197533,,,
8/23/2022,17:30:22,10844,9/5/2022 10:17:34,250.331111708568,,,
8/23/2022,17:30:23,11153,9/5/2022 10:17:35,320.292189775613,,,
8/23/2022,17:30:24,11169,9/5/2022 10:17:36,324.405668217103,,,
8/23/2022,17:30:25,11214,9/5/2022 10:17:37,336.260263158447,,,
8/23/2022,17:30:26,11143,9/5/2022 10:17:38,317.747794954471,,,
8/23/2022,17:30:28,10568,9/5/2022 10:17:40,200.869435085516,,,
8/23/2022,17:30:29,10649,9/5/2022 10:17:41,214.274585942079,,,
8/23/2022,17:45:20,9980,9/5/2022 10:32:32,125.673070687335,,,
8/23/2022,17:45:21,9982,9/5/2022 10:32:33,125.873696844001,,,
8/23/2022,17:45:22,9985,9/5/2022 10:32:34,126.175236767981,,,
8/23/2022,17:45:23,9983,9/5/2022 10:32:35,125.974129996243,,,
8/23/2022,17:45:24,9981,9/5/2022 10:32:36,125.77334376231,,,
8/23/2022,17:45:25,9984,9/5/2022 10:32:37,126.074643282923,,,
8/23/2022,17:45:26,9983,9/5/2022 10:32:38,125.974129996243,,,
8/23/2022,17:45:27,9984,9/5/2022 10:32:39,126.074643282923,,,
8/23/2022,17:45:29,9991,9/5/2022 10:32:41,126.780485431231,,,
8/23/2022,17:45:30,10011,9/5/2022 10:32:42,128.8190276884,,,
8/23/2022,18:00:21,9739,9/5/2022 10:47:33,103.696612242073,,,
8/23/2022,18:00:22,9737,9/5/2022 10:47:34,103.531333448369,,,
8/23/2022,18:00:23,9735,9/5/2022 10:47:35,103.366318087376,,,
8/23/2022,18:00:24,9735,9/5/2022 10:47:36,103.366318087376,,,
8/23/2022,18:00:25,9732,9/5/2022 10:47:37,103.119288063921,,,
8/23/2022,18:00:26,9728,9/5/2022 10:47:38,102.790832800557,,,
8/23/2022,18:00:27,9732,9/5/2022 10:47:39,103.119288063921,,,
8/23/2022,18:00:28,9722,9/5/2022 10:47:40,102.300110478937,,,
8/23/2022,18:00:30,9719,9/5/2022 10:47:42,102.055628532026,,,
8/23/2022,18:00:31,9711,9/5/2022 10:47:43,101.406529339369,,,
8/23/2022,18:15:22,11237,9/5/2022 11:02:34,342.485584190517,,,
8/23/2022,18:15:23,11203,9/5/2022 11:02:35,333.323063699543,,,
8/23/2022,18:15:24,11157,9/5/2022 11:02:36,321.315643450226,,,
8/23/2022,18:15:25,10612,9/5/2022 11:02:37,208.043711272161,,,
