FrameSync,DateTime (UTC+00:00),Internal pH (pH),External pH (pH),pH Temperature (Celsius),Sample Number (#),Error Flags (#),External pH (Volt),Internal pH (Volt),Relative Humidity (%),Int Temperature (Celsius),pH-Diff
SEAFET02114,09/05/2022 13:15:00,7.9633,7.9633,29.0438,150,0,-0.829301,-0.87886,52.3,29.3,0
SEAFET02114,09/05/2022 13:30:00,7.9421,7.9571,29.1341,151,0,-0.829579,-0.880083,52.2,29.3,-0.0149999999999997
SEAFET02114,09/05/2022 13:45:00,7.9422,7.9642,29.2198,152,0,-0.829064,-0.880033,52.2,29.2,-0.0220000000000002
SEAFET02114,09/05/2022 14:00:00,7.9527,7.9748,29.3036,153,0,-0.828341,-0.879366,52.2,29.2,-0.0221
SEAFET02114,09/05/2022 14:15:00,7.958,7.9841,29.3531,154,0,-0.827726,-0.879019,52.2,29.3,-0.0260999999999996
SEAFET02114,09/05/2022 14:30:00,7.9564,7.9865,29.3802,155,0,-0.827557,-0.879104,52.2,29.3,-0.0301
SEAFET02114,09/05/2022 14:45:00,7.9534,7.9876,29.4072,156,0,-0.827463,-0.879271,52.2,29.3,-0.0341999999999993
SEAFET02114,09/05/2022 15:00:00,7.9539,7.9909,29.4282,157,0,-0.827238,-0.87923,52.2,29.3,-0.0369999999999999
SEAFET02114,09/05/2022 15:15:00,7.9542,7.9939,29.4446,158,0,-0.827041,-0.879201,52.2,29.3,-0.0396999999999998
SEAFET02114,09/05/2022 15:30:00,7.9514,7.9939,29.4551,159,0,-0.827031,-0.879363,52.2,29.3,-0.0425000000000004
SEAFET02114,09/05/2022 15:45:00,7.9506,7.9951,29.4628,160,0,-0.826952,-0.879408,52.2,29.3,-0.0445000000000002
SEAFET02114,09/05/2022 16:00:00,7.9475,7.9936,29.4615,161,0,-0.827042,-0.879596,52.2,29.3,-0.0461
SEAFET02114,09/05/2022 16:15:00,7.9445,7.9917,29.4671,162,0,-0.827154,-0.879775,52.2,29.3,-0.0472000000000001
SEAFET02114,09/05/2022 16:30:00,7.9451,7.9935,29.466,163,0,-0.827046,-0.879738,52.2,29.3,-0.0484
SEAFET02114,09/05/2022 16:45:00,7.9467,7.9964,29.4628,164,0,-0.826873,-0.879644,52.2,29.3,-0.0497000000000005
SEAFET02114,09/05/2022 17:00:00,7.9467,7.9972,29.4651,165,0,-0.826826,-0.879646,52.3,29.3,-0.0505000000000004
SEAFET02114,09/05/2022 17:15:00,7.9482,7.9996,29.4679,166,0,-0.826677,-0.87955,52.2,29.3,-0.0514000000000001
SEAFET02114,09/05/2022 17:30:00,7.9518,8.0038,29.47,167,0,-0.826424,-0.879335,52.3,29.3,-0.0519999999999996
SEAFET02114,09/05/2022 17:45:00,7.9548,8.0074,29.4684,168,0,-0.826208,-0.879155,52.3,29.3,-0.0526000000000009
SEAFET02114,09/05/2022 18:00:00,7.9581,8.0107,29.463,169,0,-0.826017,-0.878958,52.2,29.3,-0.0526
SEAFET02114,09/05/2022 18:15:00,7.9552,8.0082,29.4607,170,0,-0.826168,-0.879134,52.2,29.3,-0.0530000000000008
SEAFET02114,09/05/2022 18:30:00,7.9567,8.01,29.4588,171,0,-0.826064,-0.879046,52.2,29.3,-0.0533000000000001
SEAFET02114,09/05/2022 18:45:00,7.9561,8.0096,29.4518,172,0,-0.826091,-0.879087,52.3,29.3,-0.0535000000000006
SEAFET02114,09/05/2022 19:00:00,7.9547,8.0088,29.431,173,0,-0.82616,-0.879183,52.2,29.3,-0.0541000000000009
SEAFET02114,09/05/2022 19:15:00,7.9548,8.0091,29.4206,174,0,-0.826155,-0.879182,52.2,29.3,-0.0543000000000005
SEAFET02114,09/05/2022 19:30:00,7.9529,8.0072,29.4175,175,0,-0.826271,-0.879294,52.2,29.3,-0.0542999999999996
SEAFET02114,09/05/2022 19:45:00,7.9579,8.0119,29.4161,176,0,-0.825991,-0.878997,52.2,29.3,-0.0540000000000003
SEAFET02114,09/05/2022 20:00:00,7.956,8.0099,29.4175,177,0,-0.826109,-0.879107,52.2,29.3,-0.0538999999999996
SEAFET02114,09/05/2022 20:15:00,7.9547,8.0086,29.4167,178,0,-0.826192,-0.879187,52.2,29.3,-0.0538999999999996
SEAFET02114,09/05/2022 20:30:00,7.9531,8.0075,29.4166,179,0,-0.826254,-0.879282,52.2,29.3,-0.0544000000000002
SEAFET02114,09/05/2022 20:45:00,7.9511,8.0053,29.4152,180,0,-0.82639,-0.879405,52.2,29.3,-0.0541999999999998
SEAFET02114,09/05/2022 21:00:00,7.9501,8.004,29.4139,181,0,-0.826471,-0.879463,52.2,29.3,-0.0538999999999996
SEAFET02114,09/05/2022 21:15:00,7.9488,8.0026,29.4135,182,0,-0.826553,-0.879546,52.2,29.3,-0.053799999999999
SEAFET02114,09/05/2022 21:30:00,7.9498,8.0041,29.4119,183,0,-0.826464,-0.879484,52.2,29.3,-0.0542999999999996
SEAFET02114,09/05/2022 21:45:00,7.9486,8.0021,29.4112,184,0,-0.826586,-0.879554,52.2,29.3,-0.0535000000000006
SEAFET02114,09/05/2022 22:00:00,7.9457,7.999,29.4098,185,0,-0.826772,-0.879733,52.2,29.3,-0.0532999999999992
SEAFET02114,09/05/2022 22:15:00,7.9457,7.9987,29.4096,186,0,-0.826789,-0.879734,52.2,29.3,-0.0529999999999999
SEAFET02114,09/05/2022 22:30:00,7.9465,7.9992,29.4096,187,0,-0.826759,-0.879684,52.2,29.3,-0.0526999999999998
SEAFET02114,09/05/2022 22:45:00,7.9466,7.9994,29.4072,188,0,-0.826752,-0.879681,52.2,29.3,-0.0527999999999995
SEAFET02114,09/05/2022 23:00:00,7.9426,7.995,29.4056,189,0,-0.827016,-0.879921,52.2,29.3,-0.0524000000000004
SEAFET02114,09/05/2022 23:15:00,7.9466,7.999,29.4017,190,0,-0.826781,-0.879682,52.2,29.3,-0.0523999999999996
SEAFET02114,09/05/2022 23:30:00,7.9486,8.0006,29.3991,191,0,-0.826687,-0.879563,52.2,29.3,-0.0520000000000005
SEAFET02114,09/05/2022 23:45:00,7.947,7.9989,29.3968,192,0,-0.826794,-0.879657,52.2,29.3,-0.0518999999999998
SEAFET02114,09/06/2022 00:00:00,7.9483,8.0001,29.3951,193,0,-0.826722,-0.879582,52.2,29.3,-0.0518000000000001
SEAFET02114,09/06/2022 00:15:00,7.9519,8.0029,29.3927,194,0,-0.826558,-0.879366,52.2,29.3,-0.0510000000000002
SEAFET02114,09/06/2022 00:30:00,7.9496,8.0011,29.3932,195,0,-0.826667,-0.879503,52.2,29.3,-0.051499999999999
SEAFET02114,09/06/2022 00:45:00,7.9476,7.9991,29.3937,196,0,-0.826783,-0.879623,52.2,29.3,-0.0514999999999999
