Date,Time,Timestamp,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-09-05,15:00.00,2022-09-05 13:15:00,2.59,228.06,-1.73,-1.92
2022-09-05,30:00.00,2022-09-05 13:30:00,2.02,115.54,-0.87,1.82
2022-09-05,45:00.00,2022-09-05 13:45:00,2.87,336.84,2.64,-1.13
2022-09-05,00:00.00,2022-09-05 14:00:00,4.05,285.89,1.11,-3.9
2022-09-05,15:00.00,2022-09-05 14:15:00,3.66,250.52,-1.22,-3.45
2022-09-05,30:00.00,2022-09-05 14:30:00,2.14,311.14,1.41,-1.61
2022-09-05,45:00.00,2022-09-05 14:45:00,3.21,304.74,1.83,-2.64
2022-09-05,00:00.00,2022-09-05 15:00:00,4.85,314.03,3.37,-3.49
2022-09-05,15:00.00,2022-09-05 15:15:00,3.32,296.43,1.48,-2.97
2022-09-05,30:00.00,2022-09-05 15:30:00,0.6,237.31,-0.32,-0.51
2022-09-05,45:00.00,2022-09-05 15:45:00,0.65,123.05,-0.36,0.55
2022-09-05,00:00.00,2022-09-05 16:00:00,1.57,323.65,1.26,-0.93
2022-09-05,15:00.00,2022-09-05 16:15:00,1.6,293.54,0.64,-1.47
2022-09-05,30:00.00,2022-09-05 16:30:00,1.83,309.47,1.16,-1.41
2022-09-05,45:00.00,2022-09-05 16:45:00,2.55,306,1.5,-2.07
2022-09-05,00:00.00,2022-09-05 17:00:00,2.43,322.77,1.94,-1.47
2022-09-05,15:00.00,2022-09-05 17:15:00,1.77,333.33,1.58,-0.79
2022-09-05,30:00.00,2022-09-05 17:30:00,1.51,70.24,0.51,1.42
2022-09-05,45:00.00,2022-09-05 17:45:00,2.61,65.02,1.1,2.37
2022-09-05,00:00.00,2022-09-05 18:00:00,2.45,153.3,-2.19,1.1
2022-09-05,15:00.00,2022-09-05 18:15:00,3.84,151.82,-3.39,1.81
2022-09-05,30:00.00,2022-09-05 18:30:00,1.05,223.54,-0.76,-0.73
2022-09-05,45:00.00,2022-09-05 18:45:00,1.95,242.7,-0.9,-1.74
2022-09-05,00:00.00,2022-09-05 19:00:00,3.06,323.77,2.47,-1.81
2022-09-05,15:00.00,2022-09-05 19:15:00,4.24,327.48,3.57,-2.28
2022-09-05,30:00.00,2022-09-05 19:30:00,4.65,316.67,3.38,-3.19
2022-09-05,45:00.00,2022-09-05 19:45:00,5.13,301.21,2.66,-4.38
2022-09-05,00:00.00,2022-09-05 20:00:00,4.83,320.03,3.7,-3.1
2022-09-05,15:00.00,2022-09-05 20:15:00,4.55,301.3,2.36,-3.89
2022-09-05,30:00.00,2022-09-05 20:30:00,1.39,316.5,1.01,-0.96
2022-09-05,45:00.00,2022-09-05 20:45:00,1.62,304.4,0.91,-1.33
2022-09-05,00:00.00,2022-09-05 21:00:00,1.64,317.88,1.21,-1.1
2022-09-05,15:00.00,2022-09-05 21:15:00,1.37,307.74,0.84,-1.08
2022-09-05,30:00.00,2022-09-05 21:30:00,1.77,188.45,-1.75,-0.26
2022-09-05,45:00.00,2022-09-05 21:45:00,1.54,310.97,1.01,-1.17
2022-09-05,00:00.00,2022-09-05 22:00:00,1.3,347.1,1.27,-0.29
2022-09-05,15:00.00,2022-09-05 22:15:00,1.25,279.89,0.22,-1.24
2022-09-05,30:00.00,2022-09-05 22:30:00,1.92,196.48,-1.85,-0.55
2022-09-05,45:00.00,2022-09-05 22:45:00,1.12,204.18,-1.02,-0.46
2022-09-05,00:00.00,2022-09-05 23:00:00,1.56,335.42,1.42,-0.65
2022-09-05,15:00.00,2022-09-05 23:15:00,2.03,203.29,-1.87,-0.8
2022-09-05,30:00.00,2022-09-05 23:30:00,1.39,168.22,-1.36,0.28
2022-09-05,45:00.00,2022-09-05 23:45:00,3.36,106.01,-0.93,3.23
2022-09-06,00:00.00,2022-09-06 00:00:00,2.1,213.26,-1.75,-1.15
2022-09-06,15:00.00,2022-09-06 00:15:00,2.63,275.72,0.26,-2.62
2022-09-06,30:00.00,2022-09-06 00:30:00,2.22,347.61,2.17,-0.48
2022-09-06,45:00.00,2022-09-06 00:45:00,1.77,268.26,-0.05,-1.77
2022-09-06,00:00.00,2022-09-06 01:00:00,3.67,301.96,1.94,-3.12
2022-09-06,15:00.00,2022-09-06 01:15:00,3.33,307.3,2.02,-2.65
2022-09-06,30:00.00,2022-09-06 01:30:00,3.48,314.77,2.45,-2.47
2022-09-06,45:00.00,2022-09-06 01:45:00,2.22,290.18,0.77,-2.09
2022-09-06,00:00.00,2022-09-06 02:00:00,2.28,285.09,0.59,-2.2
2022-09-06,15:00.00,2022-09-06 02:15:00,1.7,30.62,1.46,0.87
2022-09-06,30:00.00,2022-09-06 02:30:00,1.77,328.17,1.51,-0.93
2022-09-06,45:00.00,2022-09-06 02:45:00,0.99,359.18,0.99,-0.01
2022-09-06,00:00.00,2022-09-06 03:00:00,1.53,313.93,1.06,-1.1
2022-09-06,15:00.00,2022-09-06 03:15:00,1.69,325.85,1.4,-0.95
2022-09-06,30:00.00,2022-09-06 03:30:00,1.77,57.96,0.94,1.5
2022-09-06,45:00.00,2022-09-06 03:45:00,1.96,312.18,1.32,-1.45
2022-09-06,00:00.00,2022-09-06 04:00:00,5.62,298.94,2.72,-4.91
